ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 01/09/2025;COBERTURA;IMPORTE AFILIADO
21877;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 50 g;Abbott EPD;$ 50844.86;60%;$ 20337.94
24710;enzimas digestivas;CREON 10000;cáps.x 100;Abbott EPD;$ 97758.16;50%;$ 48879.08
37388;enzimas digestivas;CREON 25000;cáps.x 100;Abbott EPD;$ 162152.51;50%;$ 81076.26
37387;enzimas digestivas;CREON 25000;cáps.x 50;Abbott EPD;$ 89983.38;50%;$ 44991.69
24709;enzimas digestivas;CREON 10000;cáps.x 50;Abbott EPD;$ 54054.03;50%;$ 27027.02
45275;fenofibrato;CONTROLIP;160 mg cáps.x 30;Abbott EPD;$ 36888.02;60%;$ 14755.21
49097;fluvoxamina;LUVOX;100 mg comp.ran.x 30;Abbott EPD;$ 38442.93;50%;$ 19221.47
49096;fluvoxamina;LUVOX;100 mg comp.rec.x 15;Abbott EPD;$ 489.56;50%;$ 244.78
19929;pinaverio,bromuro;DICETEL;100 mg comp.x 30;Abbott EPD;$ 26560.78;50%;$ 13280.39
19930;pinaverio,bromuro;DICETEL;100 mg comp.x 60;Abbott EPD;$ 51398.53;50%;$ 25699.27
4652;propafenona;NORMORYTMIN;150 mg comp.rec.x 20;Abbott EPD;$ 13836.76;60%;$ 5534.7
7781;propafenona;NORMORYTMIN;150 mg comp.rec.x 50;Abbott EPD;$ 30046.8;60%;$ 12018.72
4653;propafenona;NORMORYTMIN;300 mg comp.rec.x 20;Abbott EPD;$ 25970.61;60%;$ 10388.24
7783;propafenona;NORMORYTMIN;300 mg comp.rec.x 50;Abbott EPD;$ 56130.02;60%;$ 22452.01
8514;sodio,divalproato;VALCOTE;125 mg comp.x 50;Abbott EPD;$ 19435.46;80%;$ 3887.09
20089;sodio,divalproato;VALCOTE SPRINKLE;125 mg cáps.x 100;Abbott EPD;$ 56401.43;80%;$ 11280.29
20088;sodio,divalproato;VALCOTE SPRINKLE;125 mg cáps.x 50;Abbott EPD;$ 29452.67;80%;$ 5890.53
47171;sodio,divalproato;VALCOTE ER;250 mg comp.lib.cont.x50;Abbott EPD;$ 39358.22;80%;$ 7871.64
8518;sodio,divalproato;VALCOTE;250 mg comp.x 50;Abbott EPD;$ 32702.9;80%;$ 6540.58
29031;sodio,divalproato;VALCOTE ER;500 mg comp.lib.cont.x50;Abbott EPD;$ 69415.1;80%;$ 13883.02
8524;sodio,divalproato;VALCOTE;500 mg comp.x 50;Abbott EPD;$ 57672.28;80%;$ 11534.46
24301;sodio,divalproato;VALCOTE IV;iny.a.x 10 x 5 ml;Abbott EPD;$ 8485.24;80%;$ 1697.05
19;valproico,ác.;DEPAKENE;cáps.x 50;Abbott EPD;$ 18900.28;80%;$ 3780.06
21;valproico,ác.;DEPAKENE;jbe.x 120 ml;Abbott EPD;$ 10481.91;80%;$ 2096.38
4642;verapamilo;ISOPTINO RETARD;120 mg comp.rec.x 20;Abbott EPD;$ 18776.52;60%;$ 7510.61
2141;verapamilo;ISOPTINO MD;240 mg comp. rec.x 30;Abbott EPD;$ 43331.17;60%;$ 17332.47
20438;verapamilo;ISOPTINO;80 mg comp.rec.x 30;Abbott EPD;$ 12704.1;60%;$ 5081.64
46420;bimatoprost;LUMIGAN RC;0.01% fco.gotero x 3 ml;Abbvie;$ 36374.79;50%;$ 18187.4
28696;bimatoprost;LUMIGAN;0.03% sol.oft.x 3 ml;Abbvie;$ 32204.65;50%;$ 16102.33
39970;bimatoprost+timolol;GANFORT;sol.oft.x 3 ml;Abbvie;$ 35620.67;50%;$ 17810.34
52738;bimatoprost+timolol;GANFORT UD;sol.oft.x 30 ds.x 0.4 ml;Abbvie;$ 36851.27;50%;$ 18425.64
19898;brimonidina;ALPHAGAN;sol.oft.x 5 ml;Abbvie;$ 25077.07;60%;$ 10030.83
31189;brimonidina;ALPHAGAN P;sol.oft.x 5 ml;Abbvie;$ 29241.78;60%;$ 11696.71
37917;brimonidina+timolol;COMBIGAN;0.2%/0.5% gts.oft.x 5 ml;Abbvie;$ 32067.41;50%;$ 16033.71
56822;carboximetilcelulosa sód.+asoc.;REFRESH FUSION;sol.oft.x 10 ml;Abbvie;$ 21719.39;50%;$ 10859.7
51569;carboximetilcelulosa sód.+asoc.;OPTIVE ADVANCED;sol.oft.x 10 ml;Abbvie;$ 5084.83;50%;$ 2542.42
51599;carboximetilcelulosa sód.+asoc.;OPTIVE ADVANCED;sol.oft.x 15 ml;Abbvie;$ 5223.66;50%;$ 2611.83
37918;carboximetilcelulosa sódica;REFRESH TEARS;0.5% gts.x 10 ml;Abbvie;$ 14798.9;50%;$ 7399.45
23975;carboximetilcelulosa sódica;REFRESH TEARS;0.5% gts.x 15 ml;Abbvie;$ 21143.59;50%;$ 10571.8
32902;carboximetilcelulosa sódica;REFRESH LIQUIGEL;1% fco.gotero x 15 ml;Abbvie;$ 20181.32;50%;$ 10090.66
42509;ciclosporina;RESTASIS;viales x 30 unid.x 0.4ml;Abbvie;$ 43798.97;60%;$ 17519.59
41748;epinastina;RELESTAT;sol.oft.x 5 ml;Abbvie;$ 19293.1;50%;$ 9646.55
241;fluorometolona;F M L LIQUIFILM;susp.oft.x 10 ml;Abbvie;$ 12818.13;50%;$ 6409.07
242;fluorometolona+asoc.;F M L NEO LIQUIFILM;susp.oft.x 5 ml;Abbvie;$ 2199.19;50%;$ 1099.6
34168;gatifloxacina;ZYMARAN;0.3% sol.oft.x 5 ml;Abbvie;$ 27897.69;80%;$ 5579.54
47867;gatifloxacina;ZYMAXID;fco.gotero x 5 ml;Abbvie;$ 34244.12;80%;$ 6848.82
48712;gatifloxacina+prednisolona,acet.;ZYPRED;susp.oft.x 6 ml;Abbvie;$ 42715.56;50%;$ 21357.78
43004;glicerina+asoc.;OPTIVE;sol.oft.x 10 ml;Abbvie;$ 17166.08;50%;$ 8583.04
40574;glicerina+asoc.;OPTIVE;sol.oft.x 15 ml;Abbvie;$ 22556.69;50%;$ 11278.35
15467;ketorolac;ACULAR;sol.oft.x 5 ml;Abbvie;$ 14639.57;50%;$ 7319.79
38945;ketorolac;ACULAR LS;sol.oft.x 5 ml;Abbvie;$ 17564.67;50%;$ 8782.34
48009;ketorolac;ACUVAIL;viales unids.x 30 x0.4ml;Abbvie;$ 1118.2;50%;$ 559.1
19724;levobunolol;BETAGAN LIQUIFILM;0.50% sol.x 5 ml;Abbvie;$ 537.19;60%;$ 214.88
13697;ofloxacina;OFLOX;sol.oft.x 5 ml;Abbvie;$ 1674.46;60%;$ 669.78
246;prednisolona+fenilefrina;PREDNEFRIN 0.12%;susp.oft.x 10 ml;Abbvie;$ 2359.35;80%;$ 471.87
245;prednisolona+fenilefrina;PREDNEFRIN FORTE;susp.oft.x 10 ml;Abbvie;$ 29342.95;80%;$ 5868.59
26301;tobramicina;TOBRAGAN;0.3% gts.oft.x 5 ml;Abbvie;$ 468.44;60%;$ 187.38
11964;aceite de salmón;REGULIP;1 g cáps.x 60;Adium;$ 55549.19;40%;$ 33329.51
34244;aceite de salmón;REGULIP;1 g cáps.x 90;Adium;$ 80873.82;40%;$ 48524.29
58150;aripiprazol;ARIZIC;10 mg comp.rec.x 30;Adium;$ 24920.83;50%;$ 12460.42
58148;aripiprazol;ARIZIC;15 mg comp.rec.x 30;Adium;$ 36556.52;50%;$ 18278.26
58151;aripiprazol;ARIZIC;20 mg comp.rec.x 30;Adium;$ 44532.34;50%;$ 22266.17
58149;aripiprazol;ARIZIC;5 mg comp.rec.x 30;Adium;$ 22587.61;50%;$ 11293.81
22369;atorvastatín;LIPIFEN;10 mg comp.x 30;Adium;$ 32255.02;80%;$ 6451
22370;atorvastatín;LIPIFEN;20 mg comp.x 30;Adium;$ 53456.41;80%;$ 10691.28
50267;atorvastatín;LIPIFEN;40 mg comp.x 30;Adium;$ 62474.69;80%;$ 12494.94
40014;atorvastatín+ezetimibe;COLMIBE;10/10 mg comp.x 30;Adium;$ 35827.53;50%;$ 17913.77
40015;atorvastatín+ezetimibe;COLMIBE;20/10 mg comp.x 30;Adium;$ 50288.38;50%;$ 25144.19
50193;atorvastatín+ezetimibe;COLMIBE;40/10 mg comp.x 30;Adium;$ 62373.05;50%;$ 31186.53
61001;buprenorfina;BUPRIVA;10 mg parche x 1;Adium;$ 39055.9;50%;$ 19527.95
61002;buprenorfina;BUPRIVA;20 mg parche x 1;Adium;$ 47397.02;50%;$ 23698.51
61000;buprenorfina;BUPRIVA;5 mg parche x 1;Adium;$ 30144.94;50%;$ 15072.47
23483;bupropión;ODRANAL;150mg comp.lib.prol.x 30;Adium;$ 65352.54;40%;$ 39211.52
26876;bupropión;ODRANAL;150mg comp.lib.prol.x 60;Adium;$ 118070.63;40%;$ 70842.38
51689;ciclobenzaprina;MITRUL;15 mg cáps.x 10;Adium;$ 24686.7;50%;$ 12343.35
24913;clindamicina;TORGYN;100 mg ov.vag.x 7;Adium;$ 14969.73;60%;$ 5987.89
30481;clindamicina;TORGYN;100 mg óv.vag.x 3;Adium;$ 11002.07;60%;$ 4400.83
35664;clindamicina+ketoconazol;TORGYN DUO;cáps.blandas vag.x 7;Adium;$ 19232.46;50%;$ 9616.23
33881;clopidogrel;NABRATIN;75 mg comp.rec.x 30;Adium;$ 58728.15;50%;$ 29364.08
46775;condroitín,sulfato+glucosamina;ASOTREX;cáps.x 30;Adium;$ 26023.1;50%;$ 13011.55
46776;condroitín,sulfato+glucosamina;ASOTREX;cáps.x 60;Adium;$ 39794.89;50%;$ 19897.45
46779;condroitín,sulfato+glucosamina;ASOTREX;sob.x 30;Adium;$ 50598.51;50%;$ 25299.26
60620;dapagliflozina;FANTER;10 mg comp. x 30;Adium;$ 64391.62;100%;$ 0
47882;desvenlafaxina;FAPRIS;100mg comp.rec.lib.prx30;Adium;$ 52765.62;50%;$ 26382.81
47881;desvenlafaxina;FAPRIS;50mg comp.rec.lib.pr.x30;Adium;$ 28752.84;50%;$ 14376.42
50100;dexlansoprazol;APATRIX 60;cáps. x 30;Adium;$ 50182.77;40%;$ 30109.66
50098;dexlansoprazol;APATRIX 30;cáps. x 30;Adium;$ 35274.32;40%;$ 21164.59
22035;diclofenac potásico+paracetamol;PARACETAMOL FORTE RAFFO;comp.rec.x 15;Adium;$ 20132.95;40%;$ 12079.77
22036;diclofenac potásico+paracetamol;PARACETAMOL FORTE RAFFO;comp.rec.x 30;Adium;$ 42603.57;40%;$ 25562.14
51772;diosmina+hesperidina micronizada;VEDIPAL;1000 mg comp.x 30;Adium;$ 57084.55;40%;$ 34250.73
49121;diosmina+hesperidina micronizada;VEDIPAL;500 mg comp.x 30;Adium;$ 31346.45;40%;$ 18807.87
49122;diosmina+hesperidina micronizada;VEDIPAL;500 mg comp.x 60;Adium;$ 57137.61;40%;$ 34282.57
52261;dutasteride+tamsulosina;REDUPROST DUO;cáps.duras x 30;Adium;$ 57074.86;50%;$ 28537.43
53870;etoricoxib;XUMER;120 mg comp.rec.x 7;Adium;$ 15251.64;50%;$ 7625.82
53866;etoricoxib;XUMER;60 mg comp.rec.x 14;Adium;$ 15547.78;50%;$ 7773.89
53867;etoricoxib;XUMER;60 mg comp.rec.x 28;Adium;$ 31499.1;50%;$ 15749.55
53868;etoricoxib;XUMER;90 mg comp.rec.x 14;Adium;$ 25789.06;50%;$ 12894.53
53869;etoricoxib;XUMER;90 mg comp.rec.x 28;Adium;$ 39020.62;50%;$ 19510.31
37344;ezetimibe+simvastatin;REDUSTEROL DUO;10/10 mg comp.x 30;Adium;$ 22291.38;50%;$ 11145.69
37345;ezetimibe+simvastatin;REDUSTEROL DUO;10/20 mg comp.x 30;Adium;$ 22291.38;50%;$ 11145.69
37346;ezetimibe+simvastatin;REDUSTEROL DUO;10/40 mg comp.x 30;Adium;$ 35790.38;50%;$ 17895.19
10665;fluconazol;MUTUM;100 mg comp.x 15;Adium;$ 83311.2;50%;$ 41655.6
16364;fluconazol;MUTUM;150 mg comp.x 1;Adium;$ 7635.24;50%;$ 3817.62
16365;fluconazol;MUTUM;150 mg comp.x 2;Adium;$ 14939.21;50%;$ 7469.61
23526;fluconazol;MUTUM;150 mg comp.x 4;Adium;$ 26345.3;50%;$ 13172.65
43799;fluconazol;MUTUM;150 mg comp.x 8;Adium;$ 45835.43;50%;$ 22917.72
11746;fluconazol;MUTUM;200 mg comp.x 10;Adium;$ 93908.43;50%;$ 46954.22
11963;fluconazol;MUTUM;200 mg comp.x 30;Adium;$ 239568.18;50%;$ 119784.09
32631;gabapentin;ULTRANEURAL;100 mg comp.x 30;Adium;$ 16134.34;60%;$ 6453.74
32630;gabapentin;ULTRANEURAL;300 mg comp.x 30;Adium;$ 29252.62;60%;$ 11701.05
34457;gabapentin;ULTRANEURAL;300 mg comp.x 60;Adium;$ 52260.25;60%;$ 20904.1
32633;gabapentin;ULTRANEURAL;600 mg comp.x 30;Adium;$ 36839.24;60%;$ 14735.7
11671;glibenclamida;GARDOTON;comp.x 30;Adium;$ 4227.64;100%;$ 0
11672;glibenclamida;GARDOTON;comp.x 60;Adium;$ 8385.56;100%;$ 0
56914;glucosamina;ASOTREX GL;sob.x 15;Adium;$ 14766.57;50%;$ 7383.29
56916;glucosamina;ASOTREX GL;sob.x 30;Adium;$ 29532.14;50%;$ 14766.07
38252;ibandrónico,ác.;IDENA;150 mg comp.rec.x 1;Adium;$ 35347.15;50%;$ 17673.58
40004;ibandrónico,ác.;IDENA;150 mg comp.rec.x 2;Adium;$ 56656.25;50%;$ 28328.13
59724;insaponificables;CLEDIUM;cáps. x 30;Adium;$ 35190.18;40%;$ 21114.11
8268;isoxsuprina;DUVADILAN;10 mg comp.x 20;Adium;$ 20343.61;50%;$ 10171.81
46447;lacosamida;LACOTEM;100 mg comp.rec.x 30;Adium;$ 89385.83;50%;$ 44692.92
47376;lacosamida;LACOTEM;150 mg comp.rec.x 30;Adium;$ 120849.6;50%;$ 60424.8
47377;lacosamida;LACOTEM;200 mg comp.rec.x 30;Adium;$ 161132.31;50%;$ 80566.16
46446;lacosamida;LACOTEM;50 mg comp.rec.x 30;Adium;$ 42131.31;50%;$ 21065.66
48499;levetiracetam;LEVAXON;1000 mg comp.x 30;Adium;$ 135202.77;50%;$ 67601.39
48497;levetiracetam;LEVAXON;500 mg comp.x 20;Adium;$ 45720.13;50%;$ 22860.07
48498;levetiracetam;LEVAXON;500 mg comp.x 60;Adium;$ 129395.78;50%;$ 64697.89
42077;levofloxacina;UNIFLOX;500 mg comp.rec.ran.x 14;Adium;$ 24533.23;60%;$ 9813.29
33882;levofloxacina;UNIFLOX;500 mg comp.rec.ran.x 7;Adium;$ 15406.92;60%;$ 6162.77
38087;levofloxacina;UNIFLOX 750;750 mg comp.rec.x 5;Adium;$ 17680.23;60%;$ 7072.09
8317;levonorgestrel+etinilestradiol;TRIQUILAR;blist.grag.x 21;Adium;$ 7475.83;50%;$ 3737.92
8288;levonorgestrel+etinilestradiol;MICROGYNON;blist.grag.x 21;Adium;$ 6900.76;50%;$ 3450.38
13698;levonorgestrel+etinilestradiol;MICROVLAR;grag.x 21;Adium;$ 4859.59;50%;$ 2429.8
18517;meloxicam;FLEXIDOL;15 mg comp.ran.x 10;Adium;$ 11093.33;50%;$ 5546.67
20354;meloxicam;FLEXIDOL;15 mg comp.ran.x 20;Adium;$ 21789.71;50%;$ 10894.86
18518;meloxicam;FLEXIDOL;15 mg comp.ran.x 30;Adium;$ 31668.35;50%;$ 15834.18
53871;meloxicam;FLEXIDOL CB;15 mg cáps.blandas x 10;Adium;$ 10499.87;50%;$ 5249.94
53872;meloxicam;FLEXIDOL CB;15 mg cáps.blandas x 20;Adium;$ 21000.04;50%;$ 10500.02
38085;meloxicam+pridinol;FLEXIDOL RELAX;comp.ran.x 10;Adium;$ 11746.09;50%;$ 5873.05
38086;meloxicam+pridinol;FLEXIDOL RELAX;comp.ran.x 20;Adium;$ 23040.55;50%;$ 11520.28
29028;mirtazapina;COMENTER;30 mg comp.x 30;Adium;$ 36000.3;50%;$ 18000.15
45009;nebivolol;NABILA;10 mg comp.x 28;Adium;$ 33893.17;50%;$ 16946.59
45008;nebivolol;NABILA;2.5 mg comp.x 28;Adium;$ 7707.07;50%;$ 3853.54
42275;nebivolol;NABILA;5 mg comp.x 28;Adium;$ 17456.34;50%;$ 8728.17
59378;nebivolol+hidroclorotiazida;NABILA D;5/12.5 mg comp.rec.x 28;Adium;$ 19111.3;50%;$ 9555.65
17442;nimodipina;NIVAS;30 mg comp.rec.x 30;Adium;$ 10644.7;50%;$ 5322.35
17443;nimodipina;NIVAS;30 mg comp.rec.x 60;Adium;$ 17704.07;50%;$ 8852.04
12529;nimodipina;NIVAS FORTE;60 mg comp.rec.x 30;Adium;$ 17369.04;50%;$ 8684.52
12530;nimodipina;NIVAS FORTE;60 mg comp.rec.x 60;Adium;$ 29048.58;50%;$ 14524.29
21021;nimodipina+citicolina;NIVAS PLUS;comp.rec.x 30;Adium;$ 22475.44;50%;$ 11237.72
21022;nimodipina+citicolina;NIVAS PLUS;comp.rec.x 60;Adium;$ 39968.33;50%;$ 19984.17
51317;noretisterona;PRIMOLUT NOR;10 mg blíst.comp.x 20;Adium;$ 24852.5;50%;$ 12426.25
8305;noretisterona+etinilestradiol;PRIMOSISTON;comp.x 30;Adium;$ 9786.13;50%;$ 4893.07
11665;oxibutinina;DELAK;comp.x 20;Adium;$ 10947.73;50%;$ 5473.87
23094;oxibutinina;DELAK;comp.x 30;Adium;$ 15303.59;50%;$ 7651.8
23095;oxibutinina;DELAK;comp.x 60;Adium;$ 29410.12;50%;$ 14705.06
9360;pancreatina+dimetilpolisiloxano;PANKREOFLAT AD;comp.rec.x 50;Adium;$ 18221.45;50%;$ 9110.73
23256;pantoprazol;PANTOP;IV iny.x 1;Adium;$ 794.82;40%;$ 476.89
31760;paracetamol;PARACETAMOL RAFFO 1 G;comp.ran.x 10;Adium;$ 6155.86;40%;$ 3693.52
49154;pregabalina;PREBICTAL;100 mg cáps.x 28;Adium;$ 53248.27;50%;$ 26624.14
44478;pregabalina;PREBICTAL;150 mg cáps.x 28;Adium;$ 56720.5;50%;$ 28360.25
51662;pregabalina;PREBICTAL;25 mg cáps.x 28;Adium;$ 12678.94;50%;$ 6339.47
49153;pregabalina;PREBICTAL;50 mg cáps.x 28;Adium;$ 30431.77;50%;$ 15215.89
44477;pregabalina;PREBICTAL;75 mg cáps.x 28;Adium;$ 35895.89;50%;$ 17947.95
37351;quetiapina;QUETIAZIC;100 mg comp.x 30;Adium;$ 79523.27;50%;$ 39761.64
45449;quetiapina;QUETIAZIC;100 mg comp.x 60;Adium;$ 125918.82;50%;$ 62959.41
37352;quetiapina;QUETIAZIC;200 mg comp.x 30;Adium;$ 103842.86;50%;$ 51921.43
45452;quetiapina;QUETIAZIC;200 mg comp.x 60;Adium;$ 168043.04;50%;$ 84021.52
48928;quetiapina;QUETIAZIC XR;200mg comp.acc.prol.x 30;Adium;$ 103364.17;50%;$ 51682.09
37804;quetiapina;QUETIAZIC;25 mg comp.x 30;Adium;$ 49168.48;50%;$ 24584.24
45448;quetiapina;QUETIAZIC;25 mg comp.x 60;Adium;$ 75663.79;50%;$ 37831.9
46321;quetiapina;QUETIAZIC;300 mg comp.x 30;Adium;$ 116630.87;50%;$ 58315.44
48929;quetiapina;QUETIAZIC XR;300mg comp.acc.prol.x 30;Adium;$ 139180.24;50%;$ 69590.12
48930;quetiapina;QUETIAZIC XR;400mg comp.acc.prol.x 30;Adium;$ 209270.12;50%;$ 104635.06
48927;quetiapina;QUETIAZIC XR;50 mg comp.acc.prol.x 30;Adium;$ 100990.23;50%;$ 50495.12
36613;risperidona;DOZIC;0.5 mg comp.ran.x 20;Adium;$ 6889.82;50%;$ 3444.91
30965;risperidona;DOZIC;1 mg comp.ran.x 20;Adium;$ 11377.54;50%;$ 5688.77
32777;risperidona;DOZIC;1 mg comp.ran.x 60;Adium;$ 24366.22;50%;$ 12183.11
30966;risperidona;DOZIC;2 mg comp.ran.x 20;Adium;$ 22572.49;50%;$ 11286.25
32778;risperidona;DOZIC;2 mg comp.ran.x 60;Adium;$ 63381.78;50%;$ 31690.89
30967;risperidona;DOZIC;3 mg comp.ran.x 20;Adium;$ 29503.89;50%;$ 14751.95
32779;risperidona;DOZIC;3 mg comp.ran.x 60;Adium;$ 87208.35;50%;$ 43604.18
57784;rivaroxabán;XAROBAN;10 mg x 10 comp.rec.;Adium;$ 48007.41;50%;$ 24003.71
57785;rivaroxabán;XAROBAN;10 mg x 30 comp.rec.;Adium;$ 96893.77;50%;$ 48446.89
57780;rivaroxabán;XAROBAN;15 mg x 15 comp.rec.;Adium;$ 53839.48;50%;$ 26919.74
57781;rivaroxabán;XAROBAN;15 mg x 30 comp.rec.;Adium;$ 96185.3;50%;$ 48092.65
57778;rivaroxabán;XAROBAN;2.5 mg x 30 comp.rec.;Adium;$ 53794.46;50%;$ 26897.23
57779;rivaroxabán;XAROBAN;2.5 mg x 60 comp.rec;Adium;$ 102842.34;50%;$ 51421.17
57782;rivaroxabán;XAROBAN;20 mg x 15 comp.rec.;Adium;$ 54203.4;50%;$ 27101.7
57783;rivaroxabán;XAROBAN;20 mg x 30 comp.rec.;Adium;$ 100675.88;50%;$ 50337.94
56218;rivastigmina;REMIZERAL PARCHES;13.3 mg parches x 30;Adium;$ 83261.51;50%;$ 41630.76
56216;rivastigmina;REMIZERAL PARCHES;4.6 mg parches x 30;Adium;$ 76540.38;50%;$ 38270.19
56217;rivastigmina;REMIZERAL PARCHES;9.5 mg parches x 30;Adium;$ 76540.38;50%;$ 38270.19
59530;sacubitrilo+valsartán;DUPERTAN;100 mg comp.rec.x 30;Adium;$ 86384.1;80%;$ 17276.82
59531;sacubitrilo+valsartán;DUPERTAN;100 mg comp.rec.x 60;Adium;$ 173188.83;80%;$ 34637.77
59532;sacubitrilo+valsartán;DUPERTAN;200 mg comp.rec.x 60;Adium;$ 173188.83;80%;$ 34637.77
59529;sacubitrilo+valsartán;DUPERTAN;50 mg comp.rec.x 30;Adium;$ 81185.44;80%;$ 16237.09
41636;sertralina;ATENIX;100 mg comp.ran.x 30;Adium;$ 41671.73;50%;$ 20835.87
26875;sertralina;ATENIX;25 mg comp.ran.x 30;Adium;$ 9216.5;50%;$ 4608.25
19916;sertralina;ATENIX;50 mg comp.ran.x 30;Adium;$ 25288.55;50%;$ 12644.28
20681;sertralina;ATENIX;50 mg comp.ran.x 60;Adium;$ 41522.46;50%;$ 20761.23
13164;simvastatin;REDUSTEROL;10 mg comp.x 30;Adium;$ 22423.19;80%;$ 4484.64
14602;simvastatin;REDUSTEROL;20 mg comp.x 30;Adium;$ 28412.26;80%;$ 5682.45
15214;simvastatin;REDUSTEROL;40 mg comp.x 30;Adium;$ 25629.15;80%;$ 5125.83
22374;tamsulosina;REDUPROST;0.4 mg cáps.x 30;Adium;$ 36937.78;50%;$ 18468.89
43795;tamsulosina;REDUPROST;0.4 mg cáps.x 60;Adium;$ 61350.28;50%;$ 30675.14
59607;terbinafina;LIKANA;250 mg comp.x 14;Adium;$ 17347.05;50%;$ 8673.53
59608;terbinafina;LIKANA;250 mg comp.x 28;Adium;$ 33268.46;50%;$ 16634.23
32776;topiramato;TOPICTAL;100 mg comp.rec.x 28;Adium;$ 46600.7;80%;$ 9320.14
41288;topiramato;TOPICTAL;100 mg comp.rec.x 56;Adium;$ 88664.36;80%;$ 17732.87
32774;topiramato;TOPICTAL;25 mg comp.rec.x 28;Adium;$ 15686.32;80%;$ 3137.26
41286;topiramato;TOPICTAL;25 mg comp.rec.x 56;Adium;$ 28227.73;80%;$ 5645.55
32775;topiramato;TOPICTAL;50 mg comp.rec.x 28;Adium;$ 30117.06;80%;$ 6023.41
41287;topiramato;TOPICTAL;50 mg comp.rec.x 56;Adium;$ 58007.53;80%;$ 11601.51
57555;tramadol;ULTRAGESIC GOTAS;100 mg/ml gtas. x 10 ml;Adium;$ 16599.95;50%;$ 8299.98
57556;tramadol;ULTRAGESIC GOTAS;100 mg/ml gtas. x 20 ml;Adium;$ 26853.4;50%;$ 13426.7
57552;tramadol;ULTRAGESIC CB;50 mg cáps.bl. x 10;Adium;$ 7726.59;50%;$ 3863.3
57553;tramadol;ULTRAGESIC CB;50 mg cáps.bl. x 20;Adium;$ 15453.26;50%;$ 7726.63
57554;tramadol;ULTRAGESIC CB;50 mg cáps.bl. x 30;Adium;$ 21689.39;50%;$ 10844.7
52310;tramadol+paracetamol;ULTRAGESIC PLUS;37.5/325 mg comp.x 10;Adium;$ 13355.61;40%;$ 8013.37
52311;tramadol+paracetamol;ULTRAGESIC PLUS;37.5/325 mg comp.x 20;Adium;$ 25216.88;40%;$ 15130.13
52312;tramadol+paracetamol;ULTRAGESIC PLUS;37.5/325 mg comp.x 30;Adium;$ 31860.71;40%;$ 19116.43
35905;valsartán;ALPERTAN;160 mg comp.rec.x 14;Adium;$ 14516.64;60%;$ 5806.66
35906;valsartán;ALPERTAN;160 mg comp.rec.x 28;Adium;$ 31922.52;60%;$ 12769.01
50246;valsartán;ALPERTAN;320 mg comp.rec.x 28;Adium;$ 33954.89;60%;$ 13581.96
35903;valsartán;ALPERTAN;80 mg comp.rec.x 14;Adium;$ 12150.7;60%;$ 4860.28
35904;valsartán;ALPERTAN;80 mg comp.rec.x 28;Adium;$ 24723.59;60%;$ 9889.44
